# qlnes-spike-trace v0
# columns: cpu_cycle	addr_hex	value_hex
3476523	400e	0f
3476619	4016	01
3476625	4016	00
3476822	4016	01
3476828	4016	00
3477025	4016	01
3477031	4016	00
3505614	4014	02
3506217	4000	30
3506225	4002	ad
3506244	4004	30
3506252	4006	ad
3506271	4008	80
3506279	400a	ad
3506287	400b	06
3506295	400c	f0
3506303	400e	0f
3506399	4016	01
3506405	4016	00
3506602	4016	01
3506608	4016	00
3506805	4016	01
3506811	4016	00
3535394	4014	02
3535997	4000	30
3536005	4002	ad
3536024	4004	30
3536032	4006	ad
3536051	4008	80
3536059	400a	ad
3536067	400b	06
3536075	400c	f0
3536083	400e	0f
3565176	4014	02
3565783	4000	30
3565791	4002	ad
3565810	4004	30
3565818	4006	ad
3565837	4008	80
3565845	400a	ad
3565853	400b	06
3565861	400c	f0
3565869	400e	0f
3565960	4016	01
3565966	4016	00
3566163	4016	01
3566169	4016	00
3566366	4016	01
3566372	4016	00
3594955	4014	02
3595558	4000	30
3595566	4002	ad
3595585	4004	30
3595593	4006	ad
3595612	4008	80
3595620	400a	ad
3595628	400b	06
3595636	400c	f0
3595644	400e	0f
3595740	4016	01
3595746	4016	00
3595943	4016	01
3595949	4016	00
3596146	4016	01
3596152	4016	00
3624735	4014	02
3625338	4000	30
3625346	4002	ad
3625365	4004	30
3625373	4006	ad
3625392	4008	80
3625400	400a	ad
3625408	400b	06
3625416	400c	f0
3625424	400e	0f
3625520	4016	01
3625526	4016	00
3625723	4016	01
3625729	4016	00
3625926	4016	01
3625932	4016	00
3654515	4014	02
3655118	4000	30
3655126	4002	ad
3655145	4004	30
3655153	4006	ad
3655172	4008	80
3655180	400a	ad
3655188	400b	06
3655196	400c	f0
3655204	400e	0f
3655300	4016	01
3655306	4016	00
3655503	4016	01
3655509	4016	00
3655706	4016	01
3655712	4016	00
3684295	4014	02
3684898	4000	30
3684906	4002	ad
3684925	4004	30
3684933	4006	ad
3684952	4008	80
3684960	400a	ad
3684968	400b	06
3684976	400c	f0
3684984	400e	0f
3685080	4016	01
3685086	4016	00
3685283	4016	01
3685289	4016	00
3685486	4016	01
3685492	4016	00
3714075	4014	02
3714678	4000	30
3714686	4002	ad
3714705	4004	30
3714713	4006	ad
3714732	4008	80
3714740	400a	ad
3714748	400b	06
3714756	400c	f0
3714764	400e	0f
3743854	4014	02
3744461	4000	30
3744469	4002	ad
3744488	4004	30
3744496	4006	ad
3744515	4008	80
3744523	400a	ad
3744531	400b	06
3744539	400c	f0
3744547	400e	0f
3744633	4016	01
3744639	4016	00
3744836	4016	01
3744842	4016	00
3745039	4016	01
3745045	4016	00
3773634	4014	02
3774237	4000	30
3774245	4002	ad
3774264	4004	30
3774272	4006	ad
3774291	4008	80
3774299	400a	ad
3774307	400b	06
3774315	400c	f0
3774323	400e	0f
3774419	4016	01
3774425	4016	00
3774622	4016	01
3774628	4016	00
3774825	4016	01
3774831	4016	00
3803414	4014	02
3804017	4000	30
3804025	4002	ad
3804044	4004	30
3804052	4006	ad
3804071	4008	80
3804079	400a	ad
3804087	400b	06
3804095	400c	f0
3804103	400e	0f
3804199	4016	01
3804205	4016	00
3804402	4016	01
3804408	4016	00
3804605	4016	01
3804611	4016	00
3833194	4014	02
3833797	4000	30
3833805	4002	ad
3833824	4004	30
3833832	4006	ad
3833851	4008	80
3833859	400a	ad
3833867	400b	06
3833875	400c	f0
3833883	400e	0f
3833979	4016	01
3833985	4016	00
3834182	4016	01
3834188	4016	00
3834385	4016	01
3834391	4016	00
3862974	4014	02
3863577	4000	30
3863585	4002	ad
3863604	4004	30
3863612	4006	ad
3863631	4008	80
